productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute
520771,Awakening of the New Era - 1st Anniversary Tournament Pack,Awakening of the New Era 1st Anniversary Tournament Pack,https://tcgplayer-cdn.tcgplayer.com/product/520771_200w.jpg,68,23368,https://cpt.tcgcsv.com/rkb6,2023-12-15T14:53:12.847,1,19.0,24.38,33.9,15.45,,Normal,,,,,,,,,,
530887,Inazuma,Inazuma,https://tcgplayer-cdn.tcgplayer.com/product/530887_200w.jpg,68,23368,https://cpt.tcgcsv.com/Mmg6,2023-12-12T16:40:04.647,1,15.8,16.99,29.98,17.74,,Normal,UC,OP05-003,"If you have a Character with 7000 power or more other than this Character, this Character gains [Rush]. <em>(This card can attack on the turn in which it is played.)</em>",Red,Character,3,4000,Revolutionary Army,1000,Slash
530889,Emporio.Ivankov,EmporioIvankov,https://tcgplayer-cdn.tcgplayer.com/product/530889_200w.jpg,68,23368,https://cpt.tcgcsv.com/Pmg6,2023-12-12T16:40:28.877,1,24.9,25.0,30.0,14.42,,Normal,UC,OP05-004,"[Activate:Main][Once Per Turn] If this Character has 7000 power or more, play up to 1 [Revolutionary Army] type Character card with 5000 power or less other than [Emporio.Ivankov] from your hand.",Red,Character,4,5000,Revolutionary Army,1000,Special
530890,Chaka,Chaka,https://tcgplayer-cdn.tcgplayer.com/product/530890_200w.jpg,68,23368,https://cpt.tcgcsv.com/Qmg6,2023-12-12T16:41:55.09,1,9.69,10.03,15.15,6.09,,Normal,UC,OP05-008,[DON!! x1][Activate:Main][Once Per Turn] Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.,Red,Character,5,6000,Alabasta,1000,Slash
530891,Toh-Toh,Toh Toh,https://tcgplayer-cdn.tcgplayer.com/product/530891_200w.jpg,68,23368,https://cpt.tcgcsv.com/Rmg6,2023-12-12T16:42:13.55,1,0.27,0.86,6.0,0.68,,Normal,C,OP05-009,[On Play] Draw 1 card if your Leader has 0 power or less.,Red,Character,1,0,Alabasta,2000,Wisdom
530892,Nico Robin,Nico Robin,https://tcgplayer-cdn.tcgplayer.com/product/530892_200w.jpg,68,23368,https://cpt.tcgcsv.com/Smg6,2023-12-12T16:43:58.857,1,60.99,64.99,67.09,53.97,,Normal,UC,OP05-010,[On Play] K.O. up to 1 of your opponent's Characters with 1000 power or less.,Red,Character,1,2000,Straw Hat Crew,1000,Strike
530893,Bartholomew Kuma,Bartholomew Kuma,https://tcgplayer-cdn.tcgplayer.com/product/530893_200w.jpg,68,23368,https://cpt.tcgcsv.com/Tmg6,2023-12-12T16:44:17.48,1,8.63,11.85,13.5,8.04,,Normal,C,OP05-011,"[On Play] K.O. up to 1 of your opponent's Characters with 2000 power or less.
<br>
[Trigger] If your Leader is multicolored, play this card.",Red,Character,2,2000,Revolutionary Army;The Seven Warlords of the Sea,1000,Strike
530894,Hack,Hack,https://tcgplayer-cdn.tcgplayer.com/product/530894_200w.jpg,68,23368,https://cpt.tcgcsv.com/Vmg6,2023-12-12T16:44:38.123,1,0.5,0.65,2.35,0.64,,Normal,C,OP05-012,,Red,Character,3,5000,Fish-Man;Revolutionary Army,1000,Strike
530896,Bunny Joe,Bunny Joe,https://tcgplayer-cdn.tcgplayer.com/product/530896_200w.jpg,68,23368,https://cpt.tcgcsv.com/Xmg6,2023-12-12T16:45:34.423,1,0.49,1.0,8.0,0.88,,Normal,C,OP05-013,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,2,2000,Revolutionary Army,1000,Ranged
530897,Pell,Pell,https://tcgplayer-cdn.tcgplayer.com/product/530897_200w.jpg,68,23368,https://cpt.tcgcsv.com/Zmg6,2023-12-12T16:45:51.383,1,0.9,1.5,3.41,1.39,,Normal,C,OP05-014,[DON!! x1][When Attacking] Give up to 1 of your opponent's Characters -2000 power during this turn.,Red,Character,3,4000,Alabasta,1000,Slash
530898,Emporio Energy Hormone,Emporio Energy Hormone,https://tcgplayer-cdn.tcgplayer.com/product/530898_200w.jpg,68,23368,https://cpt.tcgcsv.com/-mg6,2023-12-12T16:46:13.707,1,2.03,8.4,43.95,1.85,,Normal,C,OP05-018,"[Counter] Up to 1 of your Leader or Character cards gains +3000 power during this battle. Then, play up to 1 [Revolutionary Army] type Character card with 5000 power or less from your hand.
<br>
[Trigger] Play up to 1 [Revolutionary Army] type Character card with 5000 power or less from your hand.",Red,Event,3,,Revolutionary Army,,
530899,Four Thousand-Brick Fist,Four Thousand Brick Fist,https://tcgplayer-cdn.tcgplayer.com/product/530899_200w.jpg,68,23368,https://cpt.tcgcsv.com/_mg6,2023-12-12T16:46:36.04,1,6.5,8.0,20.0,7.49,,Normal,UC,OP05-020,"[Main] Up to 1 of your Leader or Character cards gains +2000 power during this turn. Then, K.O. up to 1 of your opponent's Characters with 2000 power or less.
<br>
[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.",Red,Event,2,,Fish-Man;Revolutionary Army,,
530900,Revolutionary Army HQ,Revolutionary Army HQ,https://tcgplayer-cdn.tcgplayer.com/product/530900_200w.jpg,68,23368,https://cpt.tcgcsv.com/0ng6,2023-12-12T16:46:54.31,1,9.99,12.87,33.5,11.23,,Normal,UC,OP05-021,"[Activate:Main] <strong>You may trash 1 card from your hand and rest this Stage</strong>: Look at 3 cards from the top of your deck; reveal up to 1 [Revolutionary Army] type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Stage,1,,Revolutionary Army,,
530901,Kuween,Kuween,https://tcgplayer-cdn.tcgplayer.com/product/530901_200w.jpg,68,23368,https://cpt.tcgcsv.com/2ng6,2023-12-12T16:48:37.193,1,0.93,1.5,2.96,1.25,,Normal,C,OP05-024,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Green,Character,2,2000,Donquixote Pirates,1000,Strike
530902,Gladius,Gladius,https://tcgplayer-cdn.tcgplayer.com/product/530902_200w.jpg,68,23368,https://cpt.tcgcsv.com/3ng6,2023-12-12T16:49:56.403,1,0.99,1.55,3.99,1.43,,Normal,C,OP05-025,[Activate:Main] <strong>You may rest this Character</strong>: Rest up to 1 of your opponent's Characters with a cost of 3 or less.,Green,Character,5,6000,Donquixote Pirates,1000,Special
530903,Sarquiss,Sarquiss,https://tcgplayer-cdn.tcgplayer.com/product/530903_200w.jpg,68,23368,https://cpt.tcgcsv.com/5ng6,2023-12-12T16:50:14.62,1,0.48,0.61,4.12,0.58,,Normal,C,OP05-026,[DON!! x1][When Attacking][Once Per Turn] <strong>You may rest 1 of your Characters with a cost of 3 or more</strong>: Set this Character as active.,Green,Character,4,4000,Bellamy Pirates,1000,Slash
530904,Trafalgar Law (027),Trafalgar Law 027,https://tcgplayer-cdn.tcgplayer.com/product/530904_200w.jpg,68,23368,https://cpt.tcgcsv.com/6ng6,2023-12-12T16:50:41.91,1,9.99,11.0,35.0,10.94,,Normal,UC,OP05-027,[Activate:Main] <strong>You may trash this Character</strong>: Rest up to 1 of your opponent's Characters with a cost of 3 or less.,Green,Character,1,2000,Donquixote Pirates,1000,Wisdom
530905,Donquixote Doflamingo (028),Donquixote Doflamingo 028,https://tcgplayer-cdn.tcgplayer.com/product/530905_200w.jpg,68,23368,https://cpt.tcgcsv.com/7ng6,2023-12-12T16:51:51.067,1,3.18,3.5,4.99,3.45,,Normal,C,OP05-028,[Activate:Main] <strong>You may trash this Character</strong>: K.O. up to 1 of your opponent's rested Characters with a cost of 2 or less.,Green,Character,1,2000,Donquixote Pirates,1000,Ranged
530906,Donquixote Doflamingo (029),Donquixote Doflamingo 029,https://tcgplayer-cdn.tcgplayer.com/product/530906_200w.jpg,68,23368,https://cpt.tcgcsv.com/8ng6,2023-12-12T16:52:08.91,1,9.25,10.72,25.0,10.22,,Normal,UC,OP05-029,[On Your Opponent's Attack][Once Per Turn] (1) <em>(You may rest the specified number of DON!! cards in your cost area.)</em>: Rest up to 1 of your opponent's Characters with a cost of 6 or less.,Green,Character,7,8000,Donquixote Pirates,,Special
530907,Buffalo,Buffalo,https://tcgplayer-cdn.tcgplayer.com/product/530907_200w.jpg,68,23368,https://cpt.tcgcsv.com/9ng6,2023-12-12T16:53:25.863,1,0.24,1.0,6.49,0.5,,Normal,C,OP05-031,"[When Attacking][Once Per Turn] If you have 2 or more rested Characters, set up to 1 of your rested Characters with a cost of 1 as active.",Green,Character,3,4000,Donquixote Pirates,1000,Strike
530908,Baby 5 (033),Baby 5 033,https://tcgplayer-cdn.tcgplayer.com/product/530908_200w.jpg,68,23368,https://cpt.tcgcsv.com/bng6,2023-12-12T16:53:44.833,1,1.15,1.4,4.49,1.36,,Normal,C,OP05-033,[Activate:Main] (1) <em>(You may rest the specified number of DON!! cards in your cost area.)</em> <strong>You may rest this Character</strong>: Play up to 1 [Donquixote Pirates] type Character card with a cost of 2 or less from your hand.,Green,Character,1,1000,Donquixote Pirates,1000,Special
530909,Bellamy,Bellamy,https://tcgplayer-cdn.tcgplayer.com/product/530909_200w.jpg,68,23368,https://cpt.tcgcsv.com/cng6,2023-12-12T16:54:04.57,1,1.1,1.6,3.48,1.57,,Normal,C,OP05-035,,Green,Character,3,5000,Donquixote Pirates,1000,Strike
530910,Monet,Monet,https://tcgplayer-cdn.tcgplayer.com/product/530910_200w.jpg,68,23368,https://cpt.tcgcsv.com/dng6,2023-12-12T16:54:45.43,1,9.0,10.29,19.99,9.78,,Normal,UC,OP05-036,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[On Block] Rest up to 1 of your opponent's Characters with a cost of 4 or less.",Green,Character,3,1000,Donquixote Pirates,1000,Special
530911,Charlestone,Charlestone,https://tcgplayer-cdn.tcgplayer.com/product/530911_200w.jpg,68,23368,https://cpt.tcgcsv.com/fng6,2023-12-12T16:55:23.66,1,0.25,1.26,4.42,0.64,,Normal,C,OP05-038,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, you may trash 1 card from your hand. If you do, set up to 3 of your DON!! cards as active.
<br>
[Trigger] Rest up to 1 of your opponent's Leader or Character cards with a cost of 3 or less.",Green,Event,2,,Donquixote Pirates,,
530912,Stick-Stickem Meteora,Stick Stickem Meteora,https://tcgplayer-cdn.tcgplayer.com/product/530912_200w.jpg,68,23368,https://cpt.tcgcsv.com/gng6,2023-12-12T16:55:41.603,1,3.97,6.5,9.45,5.38,,Normal,UC,OP05-039,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, K.O. up to 1 of your opponent's rested Characters with a cost of 3 or less.
<br>
[Trigger] K.O. up to 1 of your opponent's rested Characters with a cost of 5 or less.",Green,Event,2,,Donquixote Pirates,,
530913,Birdcage,Birdcage,https://tcgplayer-cdn.tcgplayer.com/product/530913_200w.jpg,68,23368,https://cpt.tcgcsv.com/hng6,2023-12-12T16:56:23.28,1,,,,,,,C,OP05-040,"If your Leader is [Donquixote Doflamingo], all Characters with a cost of 5 or less do not become active in your and your opponent's Refresh Phases.
<br>
[End of Your Turn] If you have 10 DON!! cards on your field, K.O. all rested Characters with a cost of 5 or less. Then, trash this SAtage.",Green,Stage,5,,,,
530914,John Giant,John Giant,https://tcgplayer-cdn.tcgplayer.com/product/530914_200w.jpg,68,23368,https://cpt.tcgcsv.com/jng6,2023-12-12T16:57:49,1,0.25,0.71,8.8,0.49,,Normal,C,OP05-044,,Blue,Character,8,10000,Giant;Navy,1000,Slash
530915,Stainless,Stainless,https://tcgplayer-cdn.tcgplayer.com/product/530915_200w.jpg,68,23368,https://cpt.tcgcsv.com/kng6,2023-12-12T16:58:58.72,1,0.68,0.96,3.22,0.93,,Normal,C,OP05-045,[Activate:Main] <strong>You may trash 1 card from your hand and rest this Character</strong>: Place up to 1 Character with a cost of 2 or less at the bottom of the owner's deck.,Blue,Character,4,5000,Navy,1000,Slash
530916,Dalmatian,Dalmatian,https://tcgplayer-cdn.tcgplayer.com/product/530916_200w.jpg,68,23368,https://cpt.tcgcsv.com/lng6,2023-12-12T16:59:18.61,1,1.9,2.06,8.74,1.99,,Normal,C,OP05-046,[On K.O.] Draw 1 card and place 1 card from your hand at the bottom of your deck.,Blue,Character,4,5000,Navy,1000,Strike
