productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
586670,Royal Bloodlines - Booster Pack,Royal Bloodlines Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/586670_200w.jpg,68,23766,https://cpt.tcgcsv.com/qHJ6,2024-10-10T13:04:48.517,0,9.99,9.99,9.99,,,Normal
586671,Royal Bloodlines - Booster Box,Royal Bloodlines Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/586671_200w.jpg,68,23766,https://cpt.tcgcsv.com/rHJ6,2024-10-10T13:05:50.96,0,136.97,137.94,172.99,147.79,,Normal
586673,Royal Bloodlines - Booster Box Case,Royal Bloodlines Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/586673_200w.jpg,68,23766,https://cpt.tcgcsv.com/tHJ6,2024-10-10T13:19:06.233,0,1763.97,1766.0,1999.95,,,Normal

606561,Double Pack Set Volume 7,Double Pack Set Volume 7,https://tcgplayer-cdn.tcgplayer.com/product/606561_200w.jpg,68,23766,https://cpt.tcgcsv.com/fFS6,2024-12-20T14:24:10.717,0,49.99,49.99,49.99,,,Normal
606562,Double Pack Set Volume 7 Display,Double Pack Set Volume 7 Display,https://tcgplayer-cdn.tcgplayer.com/product/606562_200w.jpg,68,23766,https://cpt.tcgcsv.com/gFS6,2024-12-20T14:25:03.247,0,249.99,249.99,249.99,,,Normal
606561,Double Pack Set Volume 7,Double Pack Set Volume 7,https://tcgplayer-cdn.tcgplayer.com/product/606561_200w.jpg,68,23766,https://cpt.tcgcsv.com/fFS6,2024-12-20T14:24:10.717,0,49.99,49.99,49.99,,,Normal
606562,Double Pack Set Volume 7 Display,Double Pack Set Volume 7 Display,https://tcgplayer-cdn.tcgplayer.com/product/606562_200w.jpg,68,23766,https://cpt.tcgcsv.com/gFS6,2024-12-20T14:25:03.247,0,249.99,249.99,249.99,,,Normal
617028,Charlotte Flampe (SP),Charlotte Flampe SP,https://tcgplayer-cdn.tcgplayer.com/product/617028_200w.jpg,68,23766,https://cpt.tcgcsv.com/BQX6,2025-02-28T15:50:34.59,1,,,,,,
617029,Urouge (SP),Urouge SP,https://tcgplayer-cdn.tcgplayer.com/product/617029_200w.jpg,68,23766,https://cpt.tcgcsv.com/CQX6,2025-02-28T15:50:52.133,1,,,,,,
617030,Smoker (001),Smoker 001,https://tcgplayer-cdn.tcgplayer.com/product/617030_200w.jpg,68,23766,https://cpt.tcgcsv.com/DQX6,2025-02-28T15:51:19.337,1,,,,,,
617031,Smoker (001) (Parallel),Smoker 001 Parallel,https://tcgplayer-cdn.tcgplayer.com/product/617031_200w.jpg,68,23766,https://cpt.tcgcsv.com/FQX6,2025-02-28T15:51:29.777,1,,,,,,
617032,Caesar Clown (002),Caesar Clown 002,https://tcgplayer-cdn.tcgplayer.com/product/617032_200w.jpg,68,23766,https://cpt.tcgcsv.com/GQX6,2025-02-28T15:51:41.957,1,,,,,,
617033,Caesar Clown (002) (Parallel),Caesar Clown 002 Parallel,https://tcgplayer-cdn.tcgplayer.com/product/617033_200w.jpg,68,23766,https://cpt.tcgcsv.com/HQX6,2025-02-28T15:51:51.853,1,,,,,,
